+9.956929150E+02,-1.265907233E-01,+0,+0
+9.953775808E+02,-7.484581593E-02,+0,+0
+9.954180774E+02,-1.305466045E-01,+0,+0
+9.954246879E+02,-2.327143800E-01,+0,+0
+9.954981396E+02,-3.407504225E-01,+0,+0
+9.955614034E+02,-4.289212951E-01,+0,+0
+9.956507240E+02,-5.117312402E-01,+0,+0
+9.957580764E+02,-5.908626796E-01,+0,+0
+9.958736567E+02,-6.916553054E-01,+0,+0
+9.960188743E+02,-7.690444870E-01,+0,+0
+9.961645528E+02,-8.626513420E-01,+0,+0
+9.963284501E+02,-9.588220120E-01,+0,+0
+9.965240017E+02,-1.051487799E+00,+0,+0
+9.967356023E+02,-1.147606290E+00,+0,+0
+9.969625947E+02,-1.251432946E+00,+0,+0
+9.972106310E+02,-1.365637760E+00,+0,+0
+9.974788589E+02,-1.482197710E+00,+0,+0
+9.977720110E+02,-1.604574645E+00,+0,+0
+9.980922960E+02,-1.733977284E+00,+0,+0
+9.984169342E+02,-1.873496624E+00,+0,+0
+9.987807179E+02,-2.025139327E+00,+0,+0
+9.991366097E+02,-2.185929843E+00,+0,+0
+9.995267330E+02,-2.365329195E+00,+0,+0
+9.999223149E+02,-2.551844439E+00,+0,+0
+1.000345842E+03,-2.766103627E+00,+0,+0
+1.000791081E+03,-2.984148334E+00,+0,+0
+1.001257986E+03,-3.230581874E+00,+0,+0
+1.001718492E+03,-3.482917195E+00,+0,+0
+1.002192004E+03,-3.755527940E+00,+0,+0
+1.002709636E+03,-4.049154206E+00,+0,+0
+1.003223510E+03,-4.362801405E+00,+0,+0
+1.003745692E+03,-4.690126237E+00,+0,+0
+1.004266772E+03,-5.044604094E+00,+0,+0
+1.004813881E+03,-5.429416884E+00,+0,+0
+1.005383826E+03,-5.816346933E+00,+0,+0
+1.005948841E+03,-6.225688673E+00,+0,+0
+1.006507773E+03,-6.664170487E+00,+0,+0
+1.007086642E+03,-7.103697156E+00,+0,+0
+1.007684055E+03,-7.594895771E+00,+0,+0
+1.008286928E+03,-8.083125587E+00,+0,+0
+1.008879199E+03,-8.583171586E+00,+0,+0
+1.009472639E+03,-9.125713835E+00,+0,+0
+1.010097305E+03,-9.697581895E+00,+0,+0
+1.010739175E+03,-1.029256309E+01,+0,+0
+1.011358164E+03,-1.089549290E+01,+0,+0
+1.011995018E+03,-1.152810488E+01,+0,+0
+1.012632526E+03,-1.215949748E+01,+0,+0
+1.013302296E+03,-1.285311966E+01,+0,+0
+1.013953316E+03,-1.354915938E+01,+0,+0
+1.014600564E+03,-1.429505596E+01,+0,+0
